date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:19:20	700674/700674	---M--	200	added ('OK')	image/jpeg	etag:%22ab102-57bb7c1be0b4f%22	http://mcbeki.com/upload/portfolio/You%20Belong%20Here/cover/1543404043.jpg	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/Cyberatung/Cyberatung/mcbeki.com/upload/portfolio/You%20Belong%20Here/cover/1543404043.jpg	(from http://mcbeki.com/)
20:19:25	28931/28931	---M--	200	added ('OK')	image/png	etag:%227103-57f178ef5e03c%22	http://mcbeki.com/upload/clients/1547114043.png	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/Cyberatung/Cyberatung/mcbeki.com/upload/clients/1547114043.png	(from http://mcbeki.com/)
20:19:32	40469/40469	---M--	200	added ('OK')	image/png	etag:%229e15-57f177f70a055%22	http://mcbeki.com/upload/clients/1547113782.png	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/Cyberatung/Cyberatung/mcbeki.com/upload/clients/1547113782.png	(from http://mcbeki.com/)
20:19:37	25941/25941	---M--	200	added ('OK')	image/jpeg	etag:%226555-57b6c4866dbcb%22	http://mcbeki.com/upload/clients/1543079884.jpg	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/Cyberatung/Cyberatung/mcbeki.com/upload/clients/1543079884.jpg	(from http://mcbeki.com/)
20:19:43	29571/29571	---M--	200	added ('OK')	image/jpeg	etag:%227383-57b6c49b208b1%22	http://mcbeki.com/upload/clients/1543079906.jpg	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/Cyberatung/Cyberatung/mcbeki.com/upload/clients/1543079906.jpg	(from http://mcbeki.com/)
20:19:48	25655/25655	---M--	200	added ('OK')	image/jpeg	etag:%226437-57b6c42bbb158%22	http://mcbeki.com/upload/clients/1543079789.jpg	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/Cyberatung/Cyberatung/mcbeki.com/upload/clients/1543079789.jpg	(from http://mcbeki.com/)
20:19:53	85578/85578	---M-Z	200	added ('OK')	application/javascript	etag:%2214e4a-57b464d24c1a3-gzip%22	http://mcbeki.com/main/js/jquery/jquery-2.2.4.min.js	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/Cyberatung/Cyberatung/mcbeki.com/main/js/jquery/jquery-2.2.4.min.js	(from http://mcbeki.com/)
20:19:55	19033/19033	---M-Z	200	added ('OK')	application/javascript	etag:%224a59-57b464d24c1a3-gzip%22	http://mcbeki.com/main/js/popper.min.js	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/Cyberatung/Cyberatung/mcbeki.com/main/js/popper.min.js	(from http://mcbeki.com/)
20:20:01	48944/48944	---M-Z	200	added ('OK')	application/javascript	etag:%22bf30-57b464d24c1a3-gzip%22	http://mcbeki.com/main/js/bootstrap.min.js	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/Cyberatung/Cyberatung/mcbeki.com/main/js/bootstrap.min.js	(from http://mcbeki.com/)
20:20:11	192323/192323	---M-Z	200	added ('OK')	application/javascript	etag:%222ef43-57b464d24c1a3-gzip%22	http://mcbeki.com/main/js/plugins.js	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/Cyberatung/Cyberatung/mcbeki.com/main/js/plugins.js	(from http://mcbeki.com/)
